Batch Size,Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,1,31.1333,182,737,82,704,30364,37,0,31930,33267,33571,33827
2,1,35.2,285,974,105,1541,53831,56,1,56615,58041,58585,59912
3,1,35,492,1727,171,2961,80642,71,1,86035,87664,88120,88813
4,1,38.9333,552,1770,223,4122,96046,89,1,102746,104830,105313,106540
5,1,37,699,2525,286,5209,126914,136,2,135495,137616,138545,139024
6,1,39.2,849,3183,273,6535,142921,158,2,153954,156215,156816,157104
7,1,37.3333,1032,3713,355,7347,173031,283,2,185884,188216,189175,189928
8,1,41.6,1035,4036,375,8264,179281,290,2,192978,196925,198224,199361
9,1,38.4,1219,4326,455,8992,219652,327,2,234415,238558,239575,239986
10,1,41.3333,1322,4305,462,9913,226007,320,14,242365,245358,246472,247795
11,1,38.1333,1487,5179,585,11308,268163,335,4,287638,290257,290472,291268
12,1,42.4,1232,4821,456,11336,264784,322,6,282304,287893,287958,288746
13,1,39.8667,1351,4799,502,11745,309045,361,10,328495,331689,332940,333436
14,1,42,1545,5062,537,12900,312406,353,3,333312,336963,337415,339160
15,1,39,1512,5355,564,13117,358109,432,3,379712,382097,382783,384618
16,1,44.8,1512,4802,555,13855,339894,384,4,360837,364633,365340,368921
17,1,40.8,1576,5588,599,15288,397821,391,4,421158,424556,424871,426197
18,1,44.4,1527,5517,587,15842,388862,392,4,413058,415666,415915,416506
19,1,39.2667,1601,5267,625,16855,451481,441,4,476775,479280,479961,482986
20,1,44,1569,5217,556,16652,425770,443,3,450121,453933,454343,456352
21,1,40.6,1531,5318,620,16997,496306,424,4,521144,523782,524448,525435
22,1,44,1505,5178,502,16497,485690,429,4,509875,513795,514240,515518
23,1,41.4,1634,5190,685,18866,542595,467,4,570276,571533,573407,575820
24,1,44.8,1515,5259,582,17743,509730,458,4,534870,539559,542054,543057
25,1,41.6667,1536,5109,581,17982,574571,468,4,600101,605752,607461,607517
26,1,45.0667,1518,5338,610,19590,557544,447,4,585362,590135,590389,593249
27,1,41.4,1450,5397,593,20000,622835,472,3,650699,654759,655310,655474
28,1,46.6667,1618,5162,617,19456,578346,611,3,604654,611336,613973,614077
29,1,40.6,1499,5464,561,20215,666628,471,4,695041,699287,699872,700335
30,1,46,1560,5490,638,20890,642490,522,4,671947,674303,676385,677368
31,1,43.4,1510,4853,631,20495,711144,496,4,739904,744444,745397,745461
32,1,44.8,1573,5860,590,21691,661360,529,4,691821,694653,694700,696436
